agency_name,system_name,authority,categories_of_record,xml_url
DEPARTMENT OF EDUCATION,"[""National Evaluation of the Striving Readers Comprehensive Literacy and Comprehensive Literacy State Development Programs (18-13-45).""]","[""The study is authorized under sections 171(b) and 173 of the Education Sciences Reform Act of 2002 (ESRA)(20 U.S.C. 9561(b) and 9563), section 1502(b) of the Elementary and Secondary Education Act, as amended by the No Child Left Behind Act of 2001, and section 2225 of the Elementary and Secondary Education Act, as amended by the Every Student Succeeds Act (20 U.S.C. 6645).""]","[""For teachers, this system includes, but is not limited to, the following information: Full name, contact information, background characteristics, teaching experience and professional development, teaching certification, and descriptions of their reading instruction. For principals, this system includes, but is not limited to, the following information: Full name, contact information, and years of experience. For students, this system includes, but is not limited to, the following information: English learner status, gender, race/ethnicity, grade, eligibility for free/reduced-price lunch, individualized education plan status, and standardized English/Language Arts and Math test scores.""]",https://www.federalregister.gov/documents/full_text/xml/2020/07/27/2020-16201.xml
SOCIAL SECURITY ADMINISTRATION,"[""Anti-Harassment & Hostile Work Environment Case Tracking and Records System, 60-0380.""]","[[""Title VII of the Civil Rights Act of 1964, 42 U.S.C. 2000e, "", ""et seq.;"", "" Age Discrimination in Employment Act of 1967, 29 U.S.C. 621, "", ""et seq.;"", "" The Americans with Disabilities Act of 1990 (ADA), 42 U.S.C. 12101, "", ""et seq.;"", "" The ADA Amendments Act of 2008; The Rehabilitation Act of 1973 (Section 501), 29 U.S.C. 791; The Notification and Federal Employee Antidiscrimination and Retaliation Act of 2002 (No FEAR Act), Public Law 107-174; Genetic Information Nondiscrimination Act of 2008 (GINA), Public Law 110-233; Executive Order 13087, Executive Order 13152, and further amendments to Executive Order 11478 and Executive Order 11246; and Equal Employment Opportunity Commission Enforcement Guidance: Vicarious Employer Liability for Unlawful Harassment by Supervisors, Notice 915.002, V.C.1 (June 18, 1999).""]]","[""This system maintains information collected or generated in response to an allegation of workplace harassment, which may include allegations of workplace harassment; information generated during fact-finding investigations; and other records related to the investigation, and/or response taken as a result of the allegation.""]",https://www.federalregister.gov/documents/full_text/xml/2020/07/27/2020-16143.xml
DEPARTMENT OF VETERANS AFFAIRS,"[""Education Debt Reduction Program-VA (115VA10A2)""]","[""Title 38, United States Code, sections 501, 503, 7451, 7452, and 7431-7440.""]","[""Records (or information contained in records) in this system may include: Personal identification information related to the application material, award processes, employment, and EDRP service periods such as (1) name, (2) employing facility number, (3) telephone number(s), (4) social security number, (5) debt reduction payment amounts, (6) dates of service periods, (7) name and address of the lending institution, (8) academic degree obtained for which EDRP funding is requested, (9) name and address of academic institution, (10) original amount of loan, and (11) current loan balance. Most of this information is contained on the application for an EDRP award including the applicant's full name, employing facility number, home and work telephone numbers, social security number, job title, degree obtained for which funding is requested, name and address of the academic institution, and the amount and number of debt reduction payments requested. The EDRP Loan Verification Form contains the candidate's name and social security number, name and address of the lending institution, original loan amount, current loan amount, and the purpose of the loan as stated on the loan application. The EDRP Acceptance of Conditions contains the name of a candidate approved for an award and the authorized number of debt reduction payments and their related amounts.""]",https://www.federalregister.gov/documents/full_text/xml/2020/07/24/2020-16114.xml
DEPARTMENT OF VETERANS AFFAIRS,,,,https://www.federalregister.gov/documents/full_text/xml/2020/07/24/2020-16113.xml
DEPARTMENT OF TRANSPORTATION,"[""DOT/FMCSA 010—Commercial Driver's License Drug and Alcohol Clearinghouse (Clearinghouse).""]","[""Moving Ahead for Progress in the 21st Century Act (MAP-21), (49 U.S.C. 31306a(a)(1)).""]","[""Categories of records in the system include:"", ""The following information about CDL and CLP holders:"", ""• Name"", ""• Contact Information including physical address, phone number(s) and email address"", ""• Date of birth"", ""• Current and previous CLP or CDL license number, state of issuance, and expiration date"", ""• Drug or alcohol test results and violation information including employer name, address, and USDOT#, as applicable"", ""• CMV driving eligibility status"", ""• Driver Substance Abuse Professional (SAP) selection including SAP name, address and phone number, as applicable"", ""• Actual Knowledge Report Information, including violation details, documentation to support the allegation and certificate of service to the employee, as applicable"", ""• Failure to appear and refusal to test detail information, including documentation regarding notification of test requirement, documentation of termination or resignation and certificate of service to the employee, as applicable"", [""• Return to duty (RTD) eligibility date and negative test result. A negative RTD test result allows the driver to resume operation of a CMV and other safety-sensitive functions"", {}], ""• Follow-up testing plan completion information"", ""• Query information including who requested the query and when the query was conducted"", ""• Query consent information including the driver's approval or refusal"", ""Information about MROs and SAPs as specified in § 382.711(c) to include:"", ""• Contact information including name, email address, phone number(s), office location addresses and applicable qualifications as per 49 CFR part 40."", ""Information about employers, designated agents and C/TPAs as specified in § 382.711(b) and § 382.711(d) to include:"", ""• Contact information including name, email address, phone number(s), office location addresses"", ""• USDOT #, as applicable""]",https://www.federalregister.gov/documents/full_text/xml/2019/10/22/2019-22915.xml
DEPARTMENT OF THE TREASURY,"[""Department of the Treasury, Office of the Comptroller of the Currency (OCC) Treasury/OCC .220. Processing, Tracking and Recordkeeping System: 914 and other Background Checks.""]","[""12 U.S.C. 1 (as amended), 27, 93a, 481, 1464, 1818, 1820, 1831i, and 5412(b)(2)(b).""]","[""Records maintained in this Privacy Act system may contain: The names, charter numbers, and locations of the OCC-regulated institutions that have submitted notices; the names, addresses, dates of birth, social security numbers, fingerprints, financial statements, tax information, criminal background check information, and other biographical information of individuals proposed as either directors or senior executive officers; and the actions taken by the OCC in connection with these notices.""]",https://www.federalregister.gov/documents/full_text/xml/2019/10/18/2019-22408.xml
DEPARTMENT OF JUSTICE,"[""Claims Received and Adjudicated by the Foreign Claims Settlement Commission JUSTICE/FCSC-33.""]","[""Authority to establish and maintain this system is contained in 5 U.S.C. 301 and 44 U.S.C. 3101, which authorize the Chairman of the Commission to create and maintain federal records of agency activities, and is further described in 22 U.S.C. 1622e, which vests all non-adjudicatory functions, powers and duties in the Chairman of the Commission.""]","[""Claim information, including name and address of claimant and representative, if any; date and place of birth or naturalization; nature of claim; description of loss or injury including medical records; and other evidence establishing entitlement to compensation.""]",https://www.federalregister.gov/documents/full_text/xml/2019/10/17/2019-22496.xml
DEPARTMENT OF JUSTICE,"[""FCSC-9, Czechoslovakia, Claims Against (2nd Program)"", ""FCSC-11, Federal Republic of Germany, Questionnaire Inquiries From"", ""FCSC-12, Hungary, Claims Against (2nd Program)"", ""FCSC-14, Micronesia, Claims Arising in"", ""FCSC-16, Prisoners of War (Pueblo)"", ""FCSC-21, German Democratic Republic, Claims Against"", ""FCSC-23, Vietnam, Claims for Losses Against"", ""FCSC-24, Ethiopia, Claims for Losses Against""]",,,https://www.federalregister.gov/documents/full_text/xml/2019/10/16/2019-22498.xml
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"[""Epidemic Investigation Case Records, 09-20-0113.""]","[""Public Health Service Act, sec. 301, Research and Investigation (42 U.S.C. 241); secs. 304, 306, and 308(d), which discuss authority to grant assurances of confidentiality for health research and related activities (42 U.S.C. 242b, 242k, and 242m(d)); sec. 361, Quarantine and Inspection, Control of Communicable Diseases (42 U.S.C. 264); and sec. 361F-3, Public Readiness and Emergency Preparedness Act (42 U.S.C. 247d-6d).""]","[""The categories of records are medical records and related documents, including: Case reports, lab requisition forms, patient consent forms, assurance statements, analytical testing data, questionnaires, and contact tracing reports.""]",https://www.federalregister.gov/documents/full_text/xml/2020/07/20/2020-15564.xml
FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,"[""FRTIB-19, Freedom of Information Act Records.""]","[""5 U.S.C. 8474; 5 U.S.C. 552; and 44 U.S.C. 3101.""]","[""Records in this system include, but are not limited to: (1) Records received, created, or compiled in processing FOIA requests or appeals, including original requests and appeals, intra- or inter-agency memoranda, referrals, correspondence notes, fee schedules, assessments, cost calculations, and other documentation related to the referral and/or processing of the FOIA request or appeal, correspondence with the individuals or entities that submitted the requests, and copies of requested records; (2) the type of information in the records may include requestors' and their attorneys' or representatives' contact information, the contact information of FRTIB employees, the name of the individual subject of the request or appeal, fee determinations, unique case identifier, and other identifiers provided by a requestor about him or herself or about the individual whose records are requested.""]",https://www.federalregister.gov/documents/full_text/xml/2020/07/17/2020-15468.xml
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"[[""COVID-19 Insights Collaboration Records, 09-90-2002."", {}]]","[""42 U.S.C. 241, 247d.""]","[""The categories of records are existing datasets containing patient medical records and related records, which may include any of the following information about each patient, as applicable:"", [""• Patient identifying information ("", ""e.g.,"", "" name, address, date of birth, social security number, medical record number) and family information ("", ""e.g.,"", "" next of kin; family medical history information).""], [""• Service information ("", ""e.g.,"", "" dates, branch and character of service, service number).""], ""• Occupational and environmental exposure data."", ""• Medical and dental resources data."", ""• Sociological, diagnostic, counseling, rehabilitation, drug and alcohol, dietetic, medical, surgical, dental, psychological, and/or psychiatric information compiled by health care providers."", [""• Information pertaining to the individual's medical, surgical, psychiatric, dental, and/or psychological examination, evaluation, and/or treatment ("", ""e.g.,"", "" diagnostic, therapeutic special examinations; clinical laboratory, pathology and x-ray findings; operations; medications; allergies; consultations), including COVID-19 illness or antibody status.""]]",https://www.federalregister.gov/documents/full_text/xml/2020/07/16/2020-15380.xml
U.S. INTERNATIONAL DEVELOPMENT FINANCE CORPORATION,"[""Executive Photographs, DFC/08.""]","[""5 U.S.C. 301, Departmental Regulations; and 44 U.S.C. 3101, Records Management by Agency Heads.""]","[""The system contains (1) portrait shots and (2) candid shots of the relevant individuals taken while performing official functions or while involved in DFC-sponsored activities.""]",https://www.federalregister.gov/documents/full_text/xml/2020/07/16/2020-15398.xml
DEPARTMENT OF JUSTICE,"[""FCSC-10, East Germany, Registration of Claims Against""]",,,https://www.federalregister.gov/documents/full_text/xml/2019/10/16/2019-22500.xml
DEPARTMENT OF DEFENSE,"[""Defense Enrollment Eligibility Reporting Systems (DEERS), DMDC 02 DoD.""]","[""5 U.S.C. App. 3, Inspector General Act of 1978; 5 U.S.C. Chapter 90, Federal Long-Term Care Insurance; 10 U.S.C. 136, Under Secretary of Defense for Personnel and Readiness; 10 U.S.C. Chapter 53, Miscellaneous Rights and Benefits; 10 U.S.C. Chapter 54, Commissary and Exchange Benefits; 10 U.S.C. Chapter 58, Benefits and Services for Members being Separated or Recently Separated; 10 U.S.C. Chapter 75, Deceased Personnel; 10 U.S.C. 2358, Research and Development Projects; 10 U.S.C. 987, Terms of Consumer Credit Extended to Members and Dependents; 20 U.S.C. 1070h, Scholarships for Veteran's Dependents; 31 U.S.C. 3512(c), Executive Agency Accounting and Other Financial Management Reports and Plan; 38 U.S.C. Chapter 19, Subchapter III, Service members' Group Life Insurance; 42 U.S.C. 18001 note, Patient Protection and Affordable Care Act (Pub. L. 111-148); 42 U.S.C. 1973ff, Federal Responsibilities; 50 U.S.C. Chapter 23, Internal Security; 50 U.S.C. Chapter 50, Servicemembers Civil Relief Act; DoD Directive 1000.04, Federal Voting Assistance Program (FVAP); DoD Directive 1000.25, DoD Personnel Identity Protection (PIP) Program; DoD Instruction 1015.9, Professional United States Scouting Organization Operations at United States Military Installations Located Overseas; DoD Instruction 1100.13, Surveys of DoD Personnel; DoD Instruction 1241.03 TRICARE Retired Reserve (TRS) Program; DoD Instruction 1241.04, TRICARE Reserve Select (TRS) Program; DoD Instruction 1336.05, Automated Extract of Active Duty Military Personnel Records; DoD Instruction 1341.2, Defense Enrollment Eligibility Reporting System (DEERS) Procedures; DoD Manual 1341.02, DoD Identity Management DoD Self-Service (DS) Logon Program and Credential; DoD Instruction 3001.02, Personnel Accountability in Conjunction with Natural or Manmade Disasters; Homeland Security Presidential Directive 12, Policy for a Common Identification Standard for Federal Employees and Contractors; DoD Instruction 7730.54, Reserve Components Common Personnel Data System (RCCPDS); 38 CFR 9.20, Traumatic injury protection; and E.O. 9397 (SSN), as amended.""]","[[""Individual's name; Service or Social Security Number (SSN); DoD identification (DoD ID) number; residence address; mailing address; personal and work email addresses; date of birth; gender; mother's maiden name, branch of Service; primary and secondary fingerprints and photographs; Foreign National Identification Numbers; emergency contact person information; stored documents for proofing identity and association; DEERS Benefits Number; relationship of beneficiary to sponsor, to include relationship and eligibility qualifiers ("", ""i.e.,"", "" percent of support by sponsor, student or incapacitation status, guardian authorizations); SGLI/FSGLI beneficiaries information and amounts of coverage; pharmacy benefits; start and end dates of benefits eligibility; number of family members of sponsor; multiple birth code/birth order; primary unit duty location of sponsor; race and ethnic origin; occupation; rank/pay grade.""], [""Disability documentation; wounded, ill and injured identification information; other health information ("", ""i.e.,"", "" tumor/reportable disease registry, immunizations); Medicare eligibility and enrollment data; CHAMPVA and Federal Employees Health Benefits (FEHB) program eligibility indicators; blood test results; Deoxyribonucleic Acid (DNA); dental care eligibility codes and dental x-rays.""], [""Patient registration data for shared DoD/DVA beneficiary populations, including DVA Integration Control Number (ICN), DVA patient type, patient category code and patient category TRICARE enrollment data ("", ""i.e.,"", "" plan name, effective dates, primary care manager information, premium payment details), identity and relationship data, command interest code and name, command security code and name, medical fly status code.""], [""Catastrophic Cap and Deductible transactions, including monetary amounts; third party health insurance information on dependents; in addition to identity data and demographic data for beneficiaries such as contact information, family membership, and personnel information is captured as required to determine and maintain benefits; DVA disability payment records; digital signatures where appropriate to assert validity of data; care giver information; immunization data; education benefit eligibility and usage; special military pay information; SGLI/FSGLI; Privacy Act audit logs; and account audit information ("", ""i.e.,"", "" IP address) to support cybersecurity policy, unauthorized access and other similar investigations.""], [""Character of service; reenlistment eligibility; entitlement conditions; activations and deployments; medals and awards data; citizenship data/country of birth; civil service employee employment information (agency and bureau, pay plan and grade, nature of action code and nature of action effective date, occupation series, dates of promotion and expected return from overseas, service computation date); compensation data ("", ""i.e.,"", "" Department of Labor Compensation data); date of separation of former enlisted and officer personnel; Information Assurance Work Force information; language data; military personnel information (rank, assignment/deployment, length of service, military occupation, education, and benefit usage); reason leaving military service or DoD civilian service; Reserve member's civilian occupation and employment information; workforces information ("", ""e.g.,"", "" acquisition, first responders).""]]",https://www.federalregister.gov/documents/full_text/xml/2019/10/16/2019-22556.xml
DEPARTMENT OF DEFENSE,"[""Joint Advertising, Market Research & Studies (JAMRS) Recruiting Database, DHRA 04.""]","[""10 U.S.C. 503(a), Enlistments: recruiting campaigns; 10 U.S.C. 136, Under Secretary of Defense for Personnel and Readiness; 10 U.S.C. 3013, Secretary of the Army; 10 U.S.C. 5013, Secretary of the Navy; 10 U.S.C. 8013, Secretary of the Air Force; and 14 U.S.C. 350 Coast Guard, as amended.""]","[[""All records:"", "" Full name, gender, address, city, state, zip code, source code.""], [""For individuals ages 16 to 18 years:"", "" Date of birth, telephone number, high school name, graduation date, grade point average, education level, military interest, college intent, ethnicity, ASVAB test date, and ASVAB Armed Forces Qualifying Test Category score.""], [""For college students:"", "" Telephone number, college name, college location, college type, college competitive ranking, class year, ethnicity, and field of study.""], [""For Selective Service System:"", "" Date of birth and Selective Service registration method. Individuals who have responded to various paid/non-paid advertising campaigns seeking enlistment information: date of birth, telephone number, Service Code, last grade completed, email address, and contact immediately flag.""], [""For military personnel:"", "" Date of birth, Electronic Data Interchange Personal Identifier/Department of Defense (DoD) Identification Number, ethnicity, education level, application date, military service, and occupation information.""], [""For individuals who have asked to be removed from future recruitment list:"", "" Date of birth and reason code.""]]",https://www.federalregister.gov/documents/full_text/xml/2019/10/16/2019-22562.xml
DEPARTMENT OF TRANSPORTATION,,,,https://www.federalregister.gov/documents/full_text/xml/2019/10/15/2019-22398.xml
DEPARTMENT OF EDUCATION,,,,https://www.federalregister.gov/documents/full_text/xml/2012/05/11/2012-11088.xml
DEPARTMENT OF JUSTICE,"[""Claims Arising under the Guam World War II Loyalty Recognition Act, JUSTICE/FCSC-32.""]","[""Authority to establish and maintain this system is contained in 5 U.S.C, 301 and 44 U.S.C. 3101, which authorize the Chairman of the Commission to create and maintain federal records of agency activities, and is further described in 22 U.S.C. 1622e, which vests all non-adjudicatory functions, powers and duties in the Chairman of the Commission.""]","[""Claim information, including name and address of claimant and representative, if any; date and place of birth, naturalization, or residency; nature of claim; description of loss or injury, including medical records; and other evidence establishing entitlement to payments under the Act.""]",https://www.federalregister.gov/documents/full_text/xml/2017/05/05/2017-09157.xml
DEPARTMENT OF HOMELAND SECURITY,"[""DHS/ICE-016 FALCON-Search and Analysis (FALCON-SA).""]","[""8 U.S.C. 1103, 1105; 8 U.S.C. 1225(d)(3) and (d)(4)(A); 8 U.S.C. 1324a(e)(2)(C); 8 U.S.C. 1357; 8 U.S.C. 1360(b); 18 U.S.C. 2703; 19 U.S.C. 1509; 19 U.S.C. 1589a; 19 U.S.C. 1628; 21 U.S.C. 967; and 50 U.S.C. 2411(a).""]","[[""(1) Biographic and other identifying information, including names; dates of birth; places of birth; Social Security numbers (SSN); Tax Identification Numbers (TIN); Exporter Identification Numbers (EIN); passport information (number and country of issuance); citizenship; nationality; location and contact information ("", ""e.g.,"", "" home, business, and email addresses and telephone numbers); and other identification numbers ("", ""e.g.,"", "" Alien Registration Number, driver's license number).""], [""(2) Financial data, including data reported pursuant to the Bank Secrecy Act ("", ""e.g.,"", "" certain transactions over $10,000) and other financial data obtained via official investigations, legal processes, or legal settlements. Financial data includes, but is not limited to, bank account numbers, transaction numbers, and descriptions or value of financial transactions.""], ""(3) Licensing information related to applications by individuals or businesses to hold or retain a customs broker's license, operate a customs-bonded warehouse, or be a bonded carrier or bonded cartman."", ""(4) Various internal operational reports, including reports of significant incidents and operations; reports concerning prospective enforcement activity; requests for assistance from other law enforcement agencies; agency intelligence reports; and reports of third-agency visits to ICE detention facilities."", ""(5) Law enforcement records, including TECS subject records and investigative records related to an ICE or CBP law enforcement matter, information obtained from the U.S. Department of the Treasury's Specially Designated Nationals List, visa security information, and other trade-based and financial sanction screening lists. Law enforcement data includes, but is not limited to, names; aliases; business names; addresses; dates of birth; places of birth; citizenship; nationality; passport information; SSNs; TINs; driver's license numbers; and vehicle, vessel, and aircraft information."", ""(6) Reports of fines, penalties, forfeitures, and seizure incidents."", ""(7) Records of call transactions and subscriber information obtained during the course of an ICE criminal investigation."", ""(8) Tips concerning illegal or suspicious activity from the public and other law enforcement agencies."", ""(9) Continued presence parole application records."", ""(10) Open source information—news articles or other data available to the public on the Internet or in public records, including publicly available information from social media."", ""(11) Commercially available data—public and proprietary records available for a subscription."", ""(12) Cargo and border crossing data—inbound/outbound shipment records and border crossing information from CBP's Automated Targeting System. NOTE: Passenger Name Record (PNR) data may not be uploaded into this system of records."", ""(13) Criminal information, including lookouts, warrants, criminal history records, and other civil or criminal investigative information provided by other law enforcement agencies."", ""(14) Information from foreign governments or multinational organizations such as INTERPOL or Europol—including criminal history; immigration data; passenger, vehicle, vessel entry/exit data; passport information; vehicle, vessel, and licensing records; shipment records; telephone records; intelligence reports; investigative leads and requests; and wants, warrants, and lookouts."", ""(15) Finished intelligence reports from DHS or other agencies."", [""(16) Evidentiary information concerning evidence seized or otherwise lawfully obtained during the course of an ICE investigation, including business records, third-agency records, public records (courts, "", ""etc."", ""), transcripts of interviews/depositions, or materials seized or obtained via subpoena or other lawful process.""], [""(17) Trade analysis data, including trade identifier numbers ("", ""e.g.,"", "" for manufacturers importers, exporters, and customs brokers) and bill of lading data ("", ""e.g.,"", "" consignee names and addresses, shipper names and addresses, container numbers, carriers); other financial data required for the detection and analysis of financial irregularities and crimes.""], [""(18) Tip data concerning child exploitation violations, such as the biographical data of the suspect or the suspect's online identity information (user ID). Internet Service Provider data, domain name, credit card number and Internet Protocol (IP) address, Internet "", {}, ""subscriber data (name, subscriber number, billing address, IP address, payment method, and email addresses), a log of subscriber activity, or other information such as motor vehicle data, SSN, and other information collected during the course of vetting the tip from sources such as Government databases, and open source and commercially-available data, as previously described.""]]",https://www.federalregister.gov/documents/full_text/xml/2017/05/04/2017-09025.xml
DEPARTMENT OF EDUCATION,[],"[""Section 206(d) of the E-Government Act of 2002 (Pub. L. 107-347, 44 U.S.C. 3501 note); 20 U.S.C. 3474; 20 U.S.C. 1221e-3; 5 U.S.C. 301; and 5 U.S.C. 553.""]","[""The categories of records in the system include: First name, last name, category (such as parent/relative, student, teacher, local educational agency, or lender), city, country, State or province, email address, organization name, submitter's representative, government agency type, government agency, additional information provided in the “General Comments” section, and other supporting documentation furnished by the submitter.""]",https://www.federalregister.gov/documents/full_text/xml/2017/05/03/2017-08950.xml
DEPARTMENT OF JUSTICE,"[""Peer Reviewer Database.""]","[""5 U.S.C. 301, 42 U.S.C. 13925 et seq., and 44 U.S.C. 3101.""]","[""Records in the peer reviewer database include an individual's name, mailing address, personal email address, telephone number, work-related information (e.g., current occupation, job title, work address, email address, work address, and work history), areas of expertise, and availability. In addition, information regarding education level, gender, ethnicity, and tribal affiliation may be provided on a voluntary basis.""]",https://www.federalregister.gov/documents/full_text/xml/2014/05/19/2014-11506.xml
DEPARTMENT OF DEFENSE,"[""Armed Services Military Accession Testing (January 3, 2011, 76 FR 111).""]",,"[""Delete entry and replace with “Individuals name, Social Security Number (SSN), address, telephone number, date of birth, sex, ethnic group identification, educational grade, rank, booklet number of ASVAB test, individuals plans after graduation, and individual item responses to ASVAB subtests and associated accession tests, test dates and test scores.”"", {}]",https://www.federalregister.gov/documents/full_text/xml/2015/02/11/2015-02848.xml
DEPARTMENT OF DEFENSE,"[""Personal Commercial Solicitation Evaluation, DPR 31.""]",,,https://www.federalregister.gov/documents/full_text/xml/2017/04/18/2017-07829.xml
DEPARTMENT OF DEFENSE,"[[""Private Relief Legislation File, DGC 02."", {}]]",,,https://www.federalregister.gov/documents/full_text/xml/2017/04/04/2017-06659.xml
ENVIRONMENTAL PROTECTION AGENCY,"[""Time Sharing Services Management System (TSSMS), EPA-43""]",,,https://www.federalregister.gov/documents/full_text/xml/2019/07/15/2019-14984.xml
DEPARTMENT OF EDUCATION,"[""1. Official Time Records of Union Officials and Bargaining Unit Employees at the Department of Education (18-05-08); and"", ""2. General Performance Appraisal System (GPAS) (18-05-10).""]",,,https://www.federalregister.gov/documents/full_text/xml/2017/04/10/2017-07170.xml
DEPARTMENT OF DEFENSE,"[""Mobilization Deployment Management Information System (MDMIS), DoD 0003""]","[""10 U.S.C. 136, Under Secretary of Defense for Personnel and Readiness; 10 U.S.C. 12301, Reserve components generally; 10 U.S.C. 12302, Ready Reserve, 10 U.S.C. 12304, Selected Reserve and certain Individual Ready Reserve members; order to active duty other than during war or national emergency; DoDD 1200.17, Managing the Reserve Components as an Operational Force; DoDI 1235.12, Accessing the Reserve Components (RC); Directive-type Memorandum (DTM) 17-004, Department of Defense Expeditionary Civilian Workforce; Joint Publication 1-0, Joint Personnel Support; Joint Publication 3-0, Joint Operations; Joint Publication 4-05, Joint Mobilization Planning; and E.O. 9397 (SSN), as amended.""]","[""Name; Social Security Numbers; DoD Identification (DoD ID) number; passport information, telephone number(s); emails; address(es); marital status; birth date; place of birth; gender; race and ethnic origin; sponsoring and beneficiary information. Employment: grade, wage, pay status; position; unit of assignment; individual personnel and military service records; education information; language/foreign language qualifications, security clearance information; augmentation type. Medical readiness information: Physical profile qualification and limitations; disability determinations.""]",https://www.federalregister.gov/documents/full_text/xml/2020/07/08/2020-14655.xml
DEPARTMENT OF DEFENSE,"[""Health and Fitness Evaluation Records, QNRO-01.""]",,,https://www.federalregister.gov/documents/full_text/xml/2020/07/06/2020-14373.xml
DEPARTMENT OF DEFENSE,"[""Case Control System—Investigative, CIG-26.""]","[""Inspector General Act of 1978, as amended; Inspector General Reform Act of 2008; Inspector General Empowerment Act of 2016; 10 U.S.C. 113, Secretary of Defense; 10 U.S.C. 141, Inspector General; and DoD Directive 5106.01, Inspector General of the Department of Defense, and Executive Order (E.O.) 9397 (SSN), as amended.""]","[[""Individual's full name, DoD Identification Number, SSN, date of birth, email addresses, duty positions, telephone numbers, case control "", {}, ""number, and other personal information related to investigations and inquiries.""]]",https://www.federalregister.gov/documents/full_text/xml/2020/07/01/2020-14222.xml
DEPARTMENT OF DEFENSE,"[""Technology Fellowship and Enrichment Programs and Events, QNRO-30.""]",,,https://www.federalregister.gov/documents/full_text/xml/2020/06/08/2020-12296.xml
FEDERAL COMMUNICATIONS COMMISSION,[],"[""5 U.S.C. 301, 44 U.S.C. 3101, and 47 U.S.C. 154(i).""]","[[""The categories of records in the system include, but are not limited to:"", {}], [""1. Records of communications that originate at the Commission using FCC telecommunications equipment (originating number); that terminate at the Commission received by FCC telecommunications equipment (terminating number), and/or are accepted on behalf of the FCC ("", ""e,g.,"", "" collect call charges), and the associated costs and charges for these telecommunications services and equipment, which include, but are not limited to:""], ""a. Identifying communications numbers (including but not limited to telephone number, fax number, IP address, audio conference bridge number, or other unique communications identifier(s));"", ""b. Time (calls start and calls end) and data usage from the communication;"", ""c. Duration of the communication (lapsed time);"", ""d. Disposition and cost of communications, including FRS and collect call charges;"", ""e. FCC bureau/office to which the relevant identifying communications numbers are assigned; and"", ""f. Email address of the FCC staff to which the relevant identifying communications numbers are assigned;"", ""2. Type and number of FCC telecommunications equipment assigned to FCC staff (employees and contractors);"", ""3. The physical location of FCC telecommunications equipment;"", ""4. Copies of related communications and service records, including any periodic summaries which may have been compiled to reflect the total number and type of communications and related user charges, usages, and fees from FCC headquarters and facilities in Gettysburg, PA and Columbia, MD; and"", ""5. Names of FCC staff and contractors.""]",https://www.federalregister.gov/documents/full_text/xml/2017/03/10/2017-04714.xml
GENERAL SERVICES ADMINISTRATION,"[""Federal Acquisition Regulation (FAR) Data Collection System.""]","[""E-Government Act of 2002 (Pub. L. 107-347) Section 204; Davis-Bacon and Related Acts: 40 U.S.C. 3141-3148 40 U.S.C. 276a; 29 CFR parts 1, 3, 5, 6 and 7; Section 5 of the Digital Accountability and Transparency Act (DATA Act), Public Law 113-101.""]","[""Categories of records include the name of the person entering, and as applicable, certifying, information on behalf of the prime or subcontractor, their position within the company, phone number, and email address. Categories of records related to employees of prime and subcontractors include, but are not limited to: Name, unique identifier assigned by the prime or subcontractor, work classification (per the Department of Labor's job classifications), regular and overtime hours worked by day/date, total hours worked, fringe benefits, whether paid as hourly rate in cash amounts or as an employer-paid benefit, and federal projects gross earnings. Some prime or subcontractors may be obligated to provide contractor employee information about themselves if they are self-employed. Categories of records related to acquisition personnel include name, position, work phone number, email address and other similar records related to their official responsibilities.""]",https://www.federalregister.gov/documents/full_text/xml/2017/03/02/2017-04037.xml
